Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Firefox 56.0,,2017-10-24 10:09:21,2017-10-24 10:10:45,"1m - 23,923s",PASSED
,,,,,,
Test Cases/TestInicial,Firefox 56.0,Abriremos el navegador e iremos a una url,2017-10-24 10:09:22,2017-10-24 10:09:44,"21,809s",PASSED
openBrowser,Firefox 56.0,,2017-10-24 10:09:24,2017-10-24 10:09:42,"18,311s",PASSED
closeBrowser,Firefox 56.0,,2017-10-24 10:09:42,2017-10-24 10:09:44,"1,638s",PASSED
,,,,,,
Test Cases/TestInicialRecord,Firefox 56.0,"Lo mismo, pero para tener en la TestSuite mas de un caso, y que se refleje en los \""reports\""",2017-10-24 10:09:44,2017-10-24 10:10:07,"23,395s",PASSED
openBrowser,Firefox 56.0,,2017-10-24 10:09:44,2017-10-24 10:09:56,"11,444s",PASSED
navigateToUrl,Firefox 56.0,,2017-10-24 10:09:56,2017-10-24 10:10:00,"4,297s",PASSED
click,Firefox 56.0,,2017-10-24 10:10:00,2017-10-24 10:10:01,"1,139s",PASSED
click,Firefox 56.0,,2017-10-24 10:10:01,2017-10-24 10:10:06,"4,682s",PASSED
closeBrowser,Firefox 56.0,,2017-10-24 10:10:06,2017-10-24 10:10:07,"1,102s",PASSED
,,,,,,
Test Cases/testDeteccionAuto,Firefox 56.0,,2017-10-24 10:10:07,2017-10-24 10:10:29,"21,837s",PASSED
openBrowser,Firefox 56.0,,2017-10-24 10:10:08,2017-10-24 10:10:19,"11,798s",PASSED
navigateToUrl,Firefox 56.0,,2017-10-24 10:10:19,2017-10-24 10:10:24,"4,421s",PASSED
click,Firefox 56.0,,2017-10-24 10:10:24,2017-10-24 10:10:25,"1,349s",PASSED
setText,Firefox 56.0,,2017-10-24 10:10:25,2017-10-24 10:10:28,"2,771s",PASSED
closeBrowser,Firefox 56.0,,2017-10-24 10:10:28,2017-10-24 10:10:29,"0,971s",PASSED
,,,,,,
Test Cases/TestComoUsuarioRemoto,Firefox 56.0,,2017-10-24 10:10:29,2017-10-24 10:10:45,"15,739s",PASSED
openBrowser,Firefox 56.0,,2017-10-24 10:10:30,2017-10-24 10:10:43,"13,211s",PASSED
closeBrowser,Firefox 56.0,,2017-10-24 10:10:43,2017-10-24 10:10:45,"2,028s",PASSED
