Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Firefox 56.0,,2017-10-20 12:55:22,2017-10-20 12:56:44,"1m - 21,411s",PASSED
,,,,,,
Test Cases/TestInicial,Firefox 56.0,Abriremos el navegador e iremos a una url,2017-10-20 12:55:23,2017-10-20 12:55:51,"27,755s",PASSED
openBrowser,Firefox 56.0,,2017-10-20 12:55:25,2017-10-20 12:55:49,"23,582s",PASSED
closeBrowser,Firefox 56.0,,2017-10-20 12:55:49,2017-10-20 12:55:51,"2,051s",PASSED
,,,,,,
Test Cases/TestInicialRecord,Firefox 56.0,"Lo mismo, pero para tener en la TestSuite mas de un caso, y que se refleje en los \""reports\""",2017-10-20 12:55:51,2017-10-20 12:56:13,"21,700s",PASSED
openBrowser,Firefox 56.0,,2017-10-20 12:55:52,2017-10-20 12:56:03,"11,105s",PASSED
navigateToUrl,Firefox 56.0,,2017-10-20 12:56:03,2017-10-20 12:56:07,"4,129s",PASSED
click,Firefox 56.0,,2017-10-20 12:56:07,2017-10-20 12:56:08,"1,146s",PASSED
click,Firefox 56.0,,2017-10-20 12:56:08,2017-10-20 12:56:12,"3,888s",PASSED
closeBrowser,Firefox 56.0,,2017-10-20 12:56:12,2017-10-20 12:56:13,"0,832s",PASSED
,,,,,,
Test Cases/testDeteccionAuto,Firefox 56.0,,2017-10-20 12:56:13,2017-10-20 12:56:32,"19,043s",PASSED
openBrowser,Firefox 56.0,,2017-10-20 12:56:13,2017-10-20 12:56:23,"10,332s",PASSED
navigateToUrl,Firefox 56.0,,2017-10-20 12:56:23,2017-10-20 12:56:27,"3,914s",PASSED
click,Firefox 56.0,,2017-10-20 12:56:27,2017-10-20 12:56:29,"1,133s",PASSED
setText,Firefox 56.0,,2017-10-20 12:56:29,2017-10-20 12:56:31,"2,308s",PASSED
closeBrowser,Firefox 56.0,,2017-10-20 12:56:31,2017-10-20 12:56:32,"0,917s",PASSED
,,,,,,
Test Cases/TestComoUsuarioRemoto,Firefox 56.0,,2017-10-20 12:56:32,2017-10-20 12:56:43,"11,616s",PASSED
openBrowser,Firefox 56.0,,2017-10-20 12:56:32,2017-10-20 12:56:43,"10,356s",PASSED
closeBrowser,Firefox 56.0,,2017-10-20 12:56:43,2017-10-20 12:56:43,"0,824s",PASSED
